d2,v2,d1,v1,m,n,var_block,var_inter,delta
0.2448879147720299,0.006329113924050633,0.2448879147720299,0.025188577636913533,2,10,0,0,0.2448879147720299
-0.1068128040049808,0.006329113924050633,-0.1068128040049808,0.025035875843026096,2,10,0,0,-0.1068128040049808
0.4081758945619489,0.006329113924050633,0.4081758945619489,0.025523902160341436,2,10,0,0,0.4081758945619489
0.5900637430403272,0.006329113924050633,0.5900637430403272,0.026094846772824257,2,10,0,0,0.5900637430403272
1.004012588754242,0.006329113924050633,1.004012588754242,0.028169814146474688,2,10,0,0,1.004012588754242
0.5166236425563617,0.006329113924050633,0.5166236425563617,0.02583927451777696,2,10,0,0,0.5166236425563617
0.47519441830734505,0.006329113924050633,0.47519441830734505,0.025710065062187582,2,10,0,0,0.47519441830734505
0.20103399718170412,0.006329113924050633,0.20103399718170412,0.025127085060078273,2,10,0,0,0.20103399718170412
0.473090322837014,0.006329113924050633,0.473090322837014,0.025703790842998696,2,10,0,0,0.473090322837014
0.3307678162229745,0.006329113924050633,0.3307678162229745,0.025344034483157342,2,10,0,0,0.3307678162229745
0.5103812964741474,0.006329113924050633,0.5103812964741474,0.02581911519874878,2,10,0,0,0.5103812964741474
0.6500371860227229,0.006329113924050633,0.6500371860227229,0.026328715147499147,2,10,0,0,0.6500371860227229
0.27794289001708916,0.006329113924050633,0.27794289001708916,0.025242921872845603,2,10,0,0,0.27794289001708916
0.9139775179671665,0.006329113924050633,0.9139775179671665,0.027626796984174397,2,10,0,0,0.9139775179671665
0.6334926812575047,0.006329113924050633,0.6334926812575047,0.026261939941945825,2,10,0,0,0.6334926812575047
0.4394548611192128,0.006329113924050633,0.4394548611192128,0.025607273078611704,2,10,0,0,0.4394548611192128
-0.006271675776670094,0.006329113924050633,-0.006271675776670094,0.02500012368660825,2,10,0,0,-0.006271675776670094
0.857501072016421,0.006329113924050633,0.857501072016421,0.027312196961543862,2,10,0,0,0.857501072016421
0.6382168306571967,0.006329113924050633,0.6382168306571967,0.026280831467326078,2,10,0,0,0.6382168306571967
0.20082778400300275,0.006329113924050633,0.20082778400300275,0.02512682447556334,2,10,0,0,0.20082778400300275
0.2754823437157505,0.006329113924050633,0.2754823437157505,0.025238639879561816,2,10,0,0,0.2754823437157505
0.6261722811772386,0.006329113924050633,0.6261722811772386,0.026232943457322726,2,10,0,0,0.6261722811772386
0.5715322574847976,0.006329113924050633,0.5715322574847976,0.026027157347605953,2,10,0,0,0.5715322574847976
0.20461316580237293,0.006329113924050633,0.20461316580237293,0.025131650536298032,2,10,0,0,0.20461316580237293
0.28474711090689026,0.006329113924050633,0.28474711090689026,0.025254961224075907,2,10,0,0,0.28474711090689026
0.5749253928280238,0.006329113924050633,0.5749253928280238,0.026039389832338524,2,10,0,0,0.5749253928280238
0.0706119836473677,0.006329113924050633,0.0706119836473677,0.025015678781462002,2,10,0,0,0.0706119836473677
0.3169370296638968,0.006329113924050633,0.3169370296638968,0.025315864959165827,2,10,0,0,0.3169370296638968
0.9234234078210474,0.006329113924050633,0.9234234078210474,0.02768137305815491,2,10,0,0,0.9234234078210474
0.8337606006106012,0.006329113924050633,0.8337606006106012,0.02718593991434659,2,10,0,0,0.8337606006106012
0.40119566988363714,0.006329113924050633,0.40119566988363714,0.02550613684883714,2,10,0,0,0.40119566988363714
0.12109074072609072,0.006329113924050633,0.12109074072609072,0.02504610811360091,2,10,0,0,0.12109074072609072
0.06950768292209514,0.006329113924050633,0.06950768292209514,0.025015192215263504,2,10,0,0,0.06950768292209514
0.2189904822336534,0.006329113924050633,0.2189904822336534,0.02515080160462069,2,10,0,0,0.2189904822336534
0.5831473092973598,0.006329113924050633,0.5831473092973598,0.02606933069903657,2,10,0,0,0.5831473092973598
0.11913810723799428,0.006329113924050633,0.11913810723799428,0.025044633081830067,2,10,0,0,0.11913810723799428
-0.07816338025620012,0.006329113924050633,-0.07816338025620012,0.025019211538616665,2,10,0,0,-0.07816338025620012
0.18298016969874376,0.006329113924050633,0.18298016969874376,0.025105284280823748,2,10,0,0,0.18298016969874376
0.5591215182077741,0.006329113924050633,0.5591215182077741,0.025983032545331394,2,10,0,0,0.5591215182077741
0.42523297214528594,0.006329113924050633,0.42523297214528594,0.025568603261779437,2,10,0,0,0.42523297214528594
0.5846578503192696,0.006329113924050633,0.5846578503192696,0.0260748777019823,2,10,0,0,0.5846578503192696
0.5921695382419371,0.006329113924050633,0.5921695382419371,0.026102675205043304,2,10,0,0,0.5921695382419371
0.5644818431881197,0.006329113924050633,0.5644818431881197,0.0260019716582355,2,10,0,0,0.5644818431881197
0.2502277747223086,0.006329113924050633,0.2502277747223086,0.025196891292682846,2,10,0,0,0.2502277747223086
0.703383771472573,0.006329113924050633,0.703383771472573,0.0265557512939722,2,10,0,0,0.703383771472573
0.48910272361073404,0.006329113924050633,0.48910272361073404,0.025752238652784407,2,10,0,0,0.48910272361073404
0.5510434234709811,0.006329113924050633,0.5510434234709811,0.025954832361890067,2,10,0,0,0.5510434234709811
0.5170177583012399,0.006329113924050633,0.5170177583012399,0.025840555517878103,2,10,0,0,0.5170177583012399
0.4946046207569712,0.006329113924050633,0.4946046207569712,0.025769257645954998,2,10,0,0,0.4946046207569712
0.3936646540647202,0.006329113924050633,0.3936646540647202,0.025487313371214623,2,10,0,0,0.3936646540647202
-0.097355042560566707,0.006329113924050633,-0.097355042560566707,0.02502980385108515,2,10,0,0,-0.097355042560566707
0.4929223155524894,0.006329113924050633,0.4929223155524894,0.025764033573137952,2,10,0,0,0.4929223155524894
0.23191646328193782,0.006329113924050633,0.23191646328193782,0.025169129218329773,2,10,0,0,0.23191646328193782
0.5527903505920928,0.006329113924050633,0.5527903505920928,0.02596089600941583,2,10,0,0,0.5527903505920928
0.10929641618390407,0.006329113924050633,0.10929641618390407,0.02503756361029345,2,10,0,0,0.10929641618390407
0.12899007140147423,0.006329113924050633,0.12899007140147423,0.02505232003780774,2,10,0,0,0.12899007140147423
0.19764866420022303,0.006329113924050633,0.19764866420022303,0.02512284097360681,2,10,0,0,0.19764866420022303
0.6994966609222919,0.006329113924050633,0.6994966609222919,0.02653860370627114,2,10,0,0,0.6994966609222919
-0.1429475154502563,0.006329113924050633,-0.1429475154502563,0.025064255263003207,2,10,0,0,-0.1429475154502563
0.26327762230504187,0.006329113924050633,0.26327762230504187,0.025217963301270543,2,10,0,0,0.26327762230504187
0.5152386415809398,0.006329113924050633,0.5152386415809398,0.025834780577455,2,10,0,0,0.5152386415809398
0.2563350199107258,0.006329113924050633,0.2563350199107258,0.025206619529360746,2,10,0,0,0.2563350199107258
0.36710190089909916,0.006329113924050633,0.36710190089909916,0.02542376857647144,2,10,0,0,0.36710190089909916
0.771044165067323,0.006329113924050633,0.771044165067323,0.026869450596940504,2,10,0,0,0.771044165067323
0.4094510308768721,0.006329113924050633,0.4094510308768721,0.02552718060065941,2,10,0,0,0.4094510308768721
0.32354209304375825,0.006329113924050633,0.32354209304375825,0.025329167587275044,2,10,0,0,0.32354209304375825
0.07580015200608847,0.006329113924050633,0.07580015200608847,0.0250180673990132,2,10,0,0,0.07580015200608847
0.35177430849115193,0.006329113924050633,0.35177430849115193,0.025389120148332906,2,10,0,0,0.35177430849115193
0.1914384244958905,0.006329113924050633,0.1914384244958905,0.025115242774568072,2,10,0,0,0.1914384244958905
0.3644604888230816,0.006329113924050633,0.3644604888230816,0.0254176922232488,2,10,0,0,0.3644604888230816
0.43185744412754806,0.006329113924050633,0.43185744412754806,0.025586457173762126,2,10,0,0,0.43185744412754806
0.6322441973522497,0.006329113924050633,0.6322441973522497,0.026256970794713144,2,10,0,0,0.6322441973522497
0.45533984456436033,0.006329113924050633,0.45533984456436033,0.02565196876953853,2,10,0,0,0.45533984456436033
0.5550534530571015,0.006329113924050633,0.5550534530571015,0.025968779857251365,2,10,0,0,0.5550534530571015
0.15851081777538054,0.006329113924050633,0.15851081777538054,0.0250790084052683,2,10,0,0,0.15851081777538054
0.23241579522965566,0.006329113924050633,0.23241579522965566,0.025169858295824802,2,10,0,0,0.23241579522965566
0.306360032034464,0.006329113924050633,0.306360032034464,0.025295134306778176,2,10,0,0,0.306360032034464
0.520885572814751,0.006329113924050633,0.520885572814751,0.025853178966807173,2,10,0,0,0.520885572814751
0.0134895460371732,0.006329113924050633,0.0134895460371732,0.02500057220302855,2,10,0,0,0.0134895460371732
0.3489386675914285,0.006329113924050633,0.3489386675914285,0.02538287206411744,2,10,0,0,0.3489386675914285
0.17623789448527338,0.006329113924050633,0.17623789448527338,0.025097668400217488,2,10,0,0,0.17623789448527338
0.44158198219220873,0.006329113924050633,0.44158198219220873,0.025613166150827146,2,10,0,0,0.44158198219220873
-0.12750062168998627,0.006329113924050633,-0.12750062168998627,0.025051118733765008,2,10,0,0,-0.12750062168998627
-0.10620566277308566,0.006329113924050633,-0.10620566277308566,0.025035469153989666,2,10,0,0,-0.10620566277308566
0.41312758395429827,0.006329113924050633,0.41312758395429827,0.02553669045221028,2,10,0,0,0.41312758395429827
0.31129238494431183,0.006329113924050633,0.31129238494431183,0.025304714047851264,2,10,0,0,0.31129238494431183
0.3861247633366553,0.006329113924050633,0.3861247633366553,0.02546882503323387,2,10,0,0,0.3861247633366553
0.4581874488771558,0.006329113924050633,0.4581874488771558,0.025660148832607824,2,10,0,0,0.4581874488771558
0.7375425689693369,0.006329113924050633,0.7375425689693369,0.02671052594623411,2,10,0,0,0.7375425689693369
0.35458537444008,0.006329113924050633,0.35458537444008,0.025395363997744544,2,10,0,0,0.35458537444008
0.5259813020380953,0.006329113924050633,0.5259813020380953,0.025869953609692145,2,10,0,0,0.5259813020380953
0.7368108145556707,0.006329113924050633,0.7368108145556707,0.026707133426174732,2,10,0,0,0.7368108145556707
0.1955582994471323,0.006329113924050633,0.1955582994471323,0.025120256341367105,2,10,0,0,0.1955582994471323
0.5367016629982678,0.006329113924050633,0.5367016629982678,0.025905777158813127,2,10,0,0,0.5367016629982678
0.5333835540095272,0.006329113924050633,0.5333835540095272,0.025894612010555,2,10,0,0,0.5333835540095272
